ID,City,Weekday,Severity,Highway,Daylight
58563,SANTA CLARA,2,0,0,0
58565,SANTA CLARA,1,0,0,0
59038,SANTA CLARA,5,0,0,1
59311,SANTA CLARA,2,0,0,1
59461,SANTA CLARA,1,0,0,1
59462,SANTA CLARA,5,1,0,0
59466,SANTA CLARA,1,0,0,1
59468,SANTA CLARA,5,1,0,0
59469,SANTA CLARA,6,0,0,1
59508,SANTA CLARA,5,0,0,1
60511,SANTA CLARA,2,0,0,1
60512,SANTA CLARA,3,0,0,0
60518,SANTA CLARA,6,0,0,1
60746,SANTA CLARA,3,0,0,1
60754,SANTA CLARA,1,0,0,1
60779,SANTA CLARA,3,0,0,0
62487,SANTA CLARA,2,0,0,1
62489,SANTA CLARA,1,0,0,1
62510,SANTA CLARA,5,0,0,1
65205,SANTA CLARA,4,0,0,1
65604,SANTA CLARA,3,0,0,0
65606,SANTA CLARA,1,0,0,1
65614,SANTA CLARA,4,0,0,1
66432,SANTA CLARA,4,0,0,1
67136,SANTA CLARA,2,0,0,0
67137,SANTA CLARA,6,0,0,1
67138,SANTA CLARA,6,1,0,1
67140,SANTA CLARA,6,0,0,0
67141,SANTA CLARA,5,1,0,1
67143,SANTA CLARA,1,0,0,0
67150,SANTA CLARA,4,0,0,1
67877,SANTA CLARA,4,0,0,1
68491,SANTA CLARA,6,0,0,1
68799,SANTA CLARA,2,0,1,1
68882,SANTA CLARA,6,0,0,0
68885,SANTA CLARA,5,1,0,1
68887,SANTA CLARA,5,0,0,1
68889,SANTA CLARA,2,0,0,1
68890,SANTA CLARA,1,0,0,1
68891,SANTA CLARA,1,0,0,1
68893,SANTA CLARA,2,0,0,1
68895,SANTA CLARA,1,0,1,1
68896,SANTA CLARA,2,0,0,0
69658,SANTA CLARA,1,0,0,1
70661,SANTA CLARA,3,0,0,0
70670,SANTA CLARA,2,0,1,1
70672,SANTA CLARA,6,0,0,0
71142,SANTA CLARA,6,0,0,1
71503,SANTA CLARA,6,0,0,1
71806,SANTA CLARA,1,0,0,1
72416,SANTA CLARA,6,0,0,1
73040,SANTA CLARA,2,0,0,1
73086,SANTA CLARA,7,0,0,1
73271,SANTA CLARA,4,0,0,1
73999,SANTA CLARA,5,0,0,1
74396,SANTA CLARA,1,0,0,1
74413,SANTA CLARA,5,0,0,1
74418,SANTA CLARA,3,0,0,1
74738,SANTA CLARA,6,0,0,1
74787,SANTA CLARA,2,0,0,1
75159,SANTA CLARA,7,0,0,1
76636,SANTA CLARA,1,0,0,0
76899,SANTA CLARA,4,0,0,1
77064,SANTA CLARA,3,0,0,1
77065,SANTA CLARA,5,0,0,1
77099,SANTA CLARA,1,0,0,1
78317,SANTA CLARA,2,0,0,1
78321,SANTA CLARA,2,0,0,1
78967,SANTA CLARA,6,0,0,1
79539,SANTA CLARA,2,0,0,1
79596,SANTA CLARA,3,0,0,1
79703,SANTA CLARA,6,0,0,1
79710,SANTA CLARA,2,1,0,0
79740,SANTA CLARA,6,0,0,1
80026,SANTA CLARA,7,0,0,1
80880,SANTA CLARA,1,0,0,0
80883,SANTA CLARA,6,0,0,1
81883,SANTA CLARA,4,0,0,0
81895,SANTA CLARA,3,0,0,1
82076,SANTA CLARA,5,0,0,1
82105,SANTA CLARA,5,0,0,0
82106,SANTA CLARA,7,0,0,0
82107,SANTA CLARA,3,0,0,1
82108,SANTA CLARA,6,0,1,0
82109,SANTA CLARA,1,0,0,1
83392,SANTA CLARA,4,0,0,1
83597,SANTA CLARA,4,0,0,0
83599,SANTA CLARA,3,0,0,0
84779,SANTA CLARA,1,0,0,1
84807,SANTA CLARA,4,0,0,1
84809,SANTA CLARA,4,0,0,0
87237,SANTA CLARA,5,0,0,1
87242,SANTA CLARA,4,0,1,1
87625,SANTA CLARA,1,0,0,1
